day,month,fajr,shuruk,zuhr,asr,maghrib,ishaa
1,4,"04:03","05:24","11:43","15:15","18:05","19:22"
2,4,"04:02","05:23","11:42","15:15","18:06","19:23"
3,4,"04:00","05:21","11:42","15:15","18:07","19:24"
4,4,"03:59","05:20","11:42","15:16","18:07","19:24"
5,4,"03:58","05:19","11:41","15:16","18:08","19:25"
6,4,"03:56","05:18","11:41","15:16","18:09","19:26"
7,4,"03:55","05:16","11:41","15:16","18:09","19:27"
8,4,"03:53","05:15","11:41","15:16","18:10","19:28"
9,4,"03:52","05:14","11:40","15:16","18:11","19:29"
10,4,"03:50","05:13","11:40","15:16","18:11","19:30"
11,4,"03:49","05:11","11:40","15:16","18:12","19:30"
12,4,"03:48","05:10","11:39","15:16","18:13","19:31"
13,4,"03:46","05:09","11:39","15:16","18:13","19:32"
14,4,"03:45","05:08","11:39","15:16","18:14","19:33"
15,4,"03:43","05:07","11:39","15:16","18:15","19:34"
16,4,"03:42","05:05","11:39","15:16","18:16","19:35"
17,4,"03:41","05:04","11:38","15:16","18:16","19:36"
18,4,"03:39","05:03","11:38","15:16","18:17","19:37"
19,4,"03:38","05:02","11:38","15:16","18:18","19:38"
20,4,"03:36","05:01","11:38","15:16","18:18","19:39"
21,4,"03:35","05:00","11:37","15:16","18:19","19:40"
22,4,"03:34","04:59","11:37","15:16","18:20","19:41"
23,4,"03:32","04:58","11:37","15:16","18:20","19:41"
24,4,"03:31","04:57","11:37","15:16","18:21","19:42"
25,4,"03:30","04:55","11:37","15:16","18:22","19:43"
26,4,"03:29","04:54","11:36","15:15","18:22","19:44"
27,4,"03:27","04:53","11:36","15:15","18:23","19:45"
28,4,"03:26","04:52","11:36","15:15","18:24","19:46"
29,4,"03:25","04:51","11:36","15:15","18:25","19:47"
30,4,"03:24","04:50","11:36","15:15","18:25","19:48"
